Date,Price,Open,High,Low,Vol.,Change %
8/29/2016,95.503,95.535,95.765,95.395,1.24K,0.00%
8/26/2016,95.502,94.575,95.53,94.155,1.75K,0.84%
8/25/2016,94.708,94.74,94.76,94.53,0.41K,0.00%
8/24/2016,94.712,94.5,94.83,94.45,0.68K,0.27%
8/23/2016,94.459,94.51,94.51,94.16,0.89K,0.00%
8/22/2016,94.459,94.6,94.895,94.39,0.88K,0.01%
8/19/2016,94.453,94.18,94.565,94.18,1.19K,0.36%
8/18/2016,94.112,94.55,94.57,94.05,1.93K,-0.57%
8/17/2016,94.655,94.73,95,94.45,1.34K,-0.08%
8/16/2016,94.729,95.56,95.56,94.34,1.71K,-0.86%
8/15/2016,95.549,95.645,95.71,95.39,0.53K,-0.10%
8/12/2016,95.642,95.845,95.92,95.145,0.63K,-0.16%
8/11/2016,95.798,95.47,95.85,95.455,0.62K,0.24%
8/10/2016,95.573,95.98,95.98,95.345,0.47K,-0.54%
8/9/2016,96.092,96.265,96.425,95.99,0.49K,-0.23%
8/8/2016,96.31,96.235,96.375,96.075,0.21K,0.22%
8/5/2016,96.101,95.69,96.45,95.485,0.99K,0.43%
8/4/2016,95.687,95.435,95.825,95.39,0.47K,0.20%
8/3/2016,95.495,95.085,95.5,95.07,0.44K,0.57%
8/2/2016,94.958,95.63,95.785,94.925,0.77K,-0.72%
8/1/2016,95.647,95.59,95.725,95.52,0.16K,0.19%
7/29/2016,95.461,96.45,96.525,95.31,1.33K,-1.28%
7/28/2016,96.696,96.55,96.705,96.245,0.83K,-0.33%
7/27/2016,97.012,97.075,97.42,96.725,0.40K,-0.13%
7/26/2016,97.143,97.23,97.23,96.9,0.36K,-0.17%
7/25/2016,97.311,97.46,97.61,97.25,0.20K,-0.19%
7/22/2016,97.496,96.89,97.565,96.88,0.35K,0.47%
7/21/2016,97.036,97.1,97.26,96.79,0.45K,-0.22%
7/20/2016,97.253,97.125,97.32,97.01,0.55K,0.17%
7/19/2016,97.088,96.55,97.145,96.55,0.51K,0.54%
7/18/2016,96.567,96.54,96.625,96.455,0.16K,0.01%
7/15/2016,96.558,96.13,96.725,95.95,0.49K,0.47%
7/14/2016,96.11,96.3,96.415,95.88,0.34K,-0.12%
7/13/2016,96.223,96.595,96.63,96.12,0.34K,-0.29%
7/12/2016,96.502,96.66,96.66,96.15,0.24K,-0.13%
7/11/2016,96.625,96.41,96.845,96.34,0.21K,0.26%
7/8/2016,96.372,96.32,96.755,95.865,0.46K,-0.06%
7/7/2016,96.428,96.195,96.42,96.045,0.26K,0.26%
7/6/2016,96.176,96.405,96.63,96.11,0.64K,-0.13%
7/5/2016,96.299,95.745,96.34,95.465,0.50K,0.57%
7/4/2016,95.754,95.82,95.9,95.635,0.20K,0.00%
7/1/2016,95.754,95.905,96.065,95.57,0.46K,-0.49%
6/30/2016,96.228,95.84,96.49,95.53,0.53K,0.41%
6/29/2016,95.837,96.165,96.32,95.675,1.26K,-0.59%
6/28/2016,96.401,96.57,96.62,96.015,0.57K,-0.40%
6/27/2016,96.793,96.165,96.94,96.065,0.45K,1.17%
6/24/2016,95.677,93.82,96.7,93.82,2.09K,2.24%
6/23/2016,93.577,93.63,93.63,93.1,0.47K,-0.24%
6/22/2016,93.803,94.165,94.165,93.565,0.19K,-0.32%
6/21/2016,94.106,93.6,94.205,93.54,0.22K,0.39%
6/20/2016,93.739,94.115,94.115,93.6,0.40K,-0.68%
6/17/2016,94.385,94.56,94.695,94.22,0.29K,-0.39%
6/16/2016,94.751,94.515,95.545,94.32,0.29K,0.02%
6/15/2016,94.735,95.125,95.13,94.47,0.17K,-0.38%
6/14/2016,95.1,94.475,95.2,94.45,0.23K,0.72%
6/13/2016,94.421,94.735,94.835,94.29,27.76K,-0.22%
6/10/2016,94.631,94.18,94.79,94.085,36.30K,0.69%
6/9/2016,93.987,93.535,94.15,93.43,26.20K,0.42%
6/8/2016,93.596,93.835,93.84,93.385,27.62K,-0.21%
6/7/2016,93.797,93.945,94.05,93.735,10.67K,-0.06%
6/6/2016,93.855,93.885,94.27,93.73,12.10K,-0.14%
6/3/2016,93.988,95.545,95.64,93.83,7.39K,-1.66%
6/2/2016,95.571,95.4,95.575,95.18,2.25K,0.10%
6/1/2016,95.471,95.81,95.91,95.36,1.96K,-0.44%
5/31/2016,95.893,95.605,95.895,95.48,1.36K,0.41%
5/30/2016,95.505,95.775,95.98,95.69,2.17K,0.00%
5/27/2016,95.505,95.165,95.77,95.125,1.36K,0.34%
5/26/2016,95.18,95.35,95.35,94.955,1.08K,-0.20%
5/25/2016,95.37,95.65,95.675,95.375,1.05K,-0.25%
5/24/2016,95.611,95.335,95.685,95.27,0.94K,0.37%
5/23/2016,95.261,95.385,95.5,95.16,0.41K,-0.13%
5/20/2016,95.383,95.37,95.515,95.24,0.23K,0.04%
5/19/2016,95.344,95.21,95.58,95.2,0.70K,0.23%
5/18/2016,95.123,94.62,95.295,94.62,0.90K,0.55%
5/17/2016,94.606,94.59,94.76,94.4,0.36K,-0.02%
5/16/2016,94.625,94.68,94.735,94.49,0.34K,-0.05%
5/13/2016,94.673,94.215,94.91,94.185,0.53K,0.49%
5/12/2016,94.213,93.92,94.21,93.89,0.37K,0.35%
5/11/2016,93.88,94.3,94.305,93.75,0.32K,-0.50%
5/10/2016,94.352,94.165,94.385,94.14,0.32K,0.15%
5/9/2016,94.21,93.96,94.28,93.88,0.60K,0.25%
5/6/2016,93.973,93.845,94.005,93.2,0.57K,0.11%
